施設名,郵便番号,都道府県名,市名,区名,住所,電話番号,FAX番号,緯度,経度,ホームページURL,最寄り駅①,最寄り駅②,最寄りのバス停①,最寄りのバス停②
三宝小学校,590-0906,大阪府,堺市,堺区,大阪府堺市堺区三宝町5丁286,072-238-0001,072-238-0002,34.59314978,135.4723879,http://www.sakai.ed.jp/sambo-e/,南海線　七道駅,,南海バス　海山通４丁,
市小学校,590-0951,大阪府,堺市,堺区,大阪府堺市堺区市之町西3丁1-14,072-223-4610,072-232-1058,34.57990938,135.4712381,http://www.sakai.ed.jp/ichi-e/,南海線　堺駅,,南海バス　市小学校前,
錦綾小学校　,590-0006,大阪府,堺市,堺区,大阪府堺市堺区錦綾町1丁6-19,072-228-5183,072-232-2730,34.58596268,135.4860191,http://www.sakai.ed.jp/kinryo-e/,阪堺線　綾之町,,南海バス　錦綾町,
浅香山小学校,590-0018,大阪府,堺市,堺区,大阪府堺市堺区今池町5丁4-43,072-238-0003,072-238-0004,34.58568358,135.4947413,http://www.sakai.ed.jp/asakayama-e/,南海高野線　浅香山駅,JR阪和線　浅香駅,,
錦小学校,590-0934,大阪府,堺市,堺区,大阪府堺市堺区九間町東3丁1-17,072-232-1036,072-229-3999,34.58443026,135.4828602,http://www.sakai.ed.jp/nishiki-e/,阪堺線　神明町,南海高野線　堺東,,
熊野小学校,590-0946,大阪府,堺市,堺区,大阪府堺市堺区熊野町東5丁1-49,072-233-3227,072-233-3228,34.57651519,135.479288,http://www.sakai.ed.jp/yuya-e/,南海高野線　堺東駅,,南海バス　熊野小学校前,
錦西小学校,590-0938,大阪府,堺市,堺区,大阪府堺市堺区神明町西2丁1-1,072-232-1056,072-227-8541,34.58536223,135.4783597,http://www.sakai.ed.jp/kinsai-e/,阪堺線　神明町,,,
榎小学校,590-0027,大阪府,堺市,堺区,大阪府堺市堺区榎元町2丁3-11,072-233-2552,072-233-2553,34.57032033,135.4857993,http://www.sakai.ed.jp/enoki-e/,南海高野線　堺東駅,,,
三国丘小学校,590-0021,大阪府,堺市,堺区,大阪府堺市堺区北三国ヶ丘町5丁1-1,072-232-2818,072-221-4217,34.57518377,135.4928332,http://www.sakai.ed.jp/mikunigaoka-e/,JR阪和線　堺市駅,南海高野線　堺東,南海バス　田出井町,
英彰小学校,590-0961,大阪府,堺市,堺区,大阪府堺市堺区寺地町西4丁1-1,072-221-8666,072-221-8667,34.57604261,135.4658709,http://www.sakai.ed.jp/eisho-e/,阪堺線　寺地町,南海本線　堺駅,,
新湊小学校,590-0835,大阪府,堺市,堺区,大阪府堺市堺区西湊町6丁6-1,072-244-6776,072-244-6777,34.56575626,135.4615429,http://www.sakai.ed.jp/shinminato-e/,南海線　湊駅,阪堺線　東湊,,
少林寺小学校,590-0963,大阪府,堺市,堺区,大阪府堺市堺区少林寺町東4丁1-1,072-232-1126,072-232-1128,34.57069354,135.4718577,http://www.sakai.ed.jp/shorinji-e/,阪堺線　寺地町,,南海バス　栄泰橋,
安井小学校,590-0064,大阪府,堺市,堺区,大阪府堺市堺区南安井町4丁1-5,072-238-5341,072-238-5342,34.57022518,135.4782473,http://www.sakai.ed.jp/yasui-e/,南海高野線　堺東駅,,南海バス　一条通,南海バス　安井町
大仙小学校,590-0801,大阪府,堺市,堺区,大阪府堺市堺区大仙中町16-1,072-241-0888,072-241-0889,34.56035706,135.4790826,http://www.sakai.ed.jp/daisen-e/,JR阪和線　百舌鳥駅,,南海バス　大仙町,
神石小学校,590-0814,大阪府,堺市,堺区,大阪府堺市堺区石津町2丁6-1,072-241-2151,072-241-2158,34.55486055,135.4671959,http://www.sakai.ed.jp/kamiishi-e/,JR阪和線　上野芝駅,,南海バス　霞ヶ丘,
大仙西小学校,590-0821,大阪府,堺市,堺区,大阪府堺市堺区大仙西町4丁129,072-241-2977,072-241-2990,34.56445573,135.4720279,http://www.sakai.ed.jp/daisennishi-e/,阪堺線　御陵前,,南海バス　御陵通3丁,南海バス　工業学校前
東百舌鳥小学校,599-8234,大阪府,堺市,中区,大阪府堺市中区土塔町139,072-236-0288,072-236-0289,34.53824718,135.5084609,http://www.sakai.ed.jp/higashimozu-e/,南海高野線　白鷺駅,泉北高速鉄道　深井,,
土師小学校,599-8238,大阪府,堺市,中区,大阪府堺市中区土師町3丁35-1,072-277-9020,072-277-9022,34.53848224,135.499744,http://www.sakai.ed.jp/haze-e/,泉北高速鉄道　深井駅,,,
宮園小学校,599-8274,大阪府,堺市,中区,大阪府堺市中区宮園町4-1,072-278-0981,072-278-0999,34.52574449,135.495572,http://www.sakai.ed.jp/miyazono-e/,泉北高速鉄道　深井駅,,南海バス　八田荘団地,
久世小学校,599-8251,大阪府,堺市,中区,大阪府堺市中区平井999,072-278-0324,072-278-2051,34.52075994,135.495798,http://www.sakai.ed.jp/kuze-e/,泉北高速鉄道　深井駅,,南海バス　久世小学校前,
福田小学校,599-8241,大阪府,堺市,中区,大阪府堺市中区福田727,072-235-9286,072-235-9287,34.52472842,135.5185725,http://www.sakai.ed.jp/fukuda-e/,,,南海バス　金山,南海バス　西山
東陶器小学校,599-8242,大阪府,堺市,中区,大阪府堺市中区東陶器2556,072-236-0036,072-236-0020,34.51851408,135.5221352,http://www.sakai.ed.jp/higashitoki-e/,,,南海バス　福田中,
西陶器小学校,599-8246,大阪府,堺市,中区,大阪府堺市中区田園570,072-236-0035,072-236-0446,34.50977748,135.5120169,http://www.sakai.ed.jp/nishitoki-e/,,,南海バス　田園,
深井小学校,599-8272,大阪府,堺市,中区,大阪府堺市中区深井中町1409,072-278-0108,072-279-5706,34.53511401,135.4918551,http://www.sakai.ed.jp/fukai-e/,泉北高速鉄道　深井駅,,南海バス　中深井,
深阪小学校,599-8253,大阪府,堺市,中区,大阪府堺市中区深阪5-15-1,072-237-3210,072-237-3215,34.50909052,135.5081857,http://www.sakai.ed.jp/fukasaka-e/,,,南海バス　田園,
八田荘小学校,599-8267,大阪府,堺市,中区,大阪府堺市中区八田寺町231,072-271-0335,072-273-9070,34.52717937,135.4808578,http://www.sakai.ed.jp/hattasho-e/,,,南海バス　鈴の宮団地東口,
八田荘西小学校,599-8266,大阪府,堺市,中区,大阪府堺市中区毛穴町268-2,072-270-0048,072-270-0049,34.52713073,135.4758038,http://www.sakai.ed.jp/hattashonishi-e/,,,南海バス　八田荘西小学校前,南海バス　鈴の宮北口
深井西小学校,599-8271,大阪府,堺市,中区,大阪府堺市中区深井北町926,072-278-6301,072-278-6302,34.53912787,135.4837469,http://www.sakai.ed.jp/fukainishi-e/,JR阪和線　上野芝駅,,南海バス　北深井,
東深井小学校,599-8237,大阪府,堺市,中区,大阪府堺市中区深井水池町3214,072-278-2791,072-278-2792,34.53095968,135.5010199,http://www.sakai.ed.jp/higashifukai-e/,泉北高速鉄道　深井駅,,,
八下西小学校,599-8104,大阪府,堺市,東区,大阪府堺市東区引野町1丁110,072-286-1611,072-286-1612,34.55066357,135.5226835,http://www.sakai.ed.jp/yashimonishi-e/,南海高野線　白鷺駅,,,
白鷺小学校,599-8107,大阪府,堺市,東区,大阪府堺市東区白鷺町2丁8-1,072-285-8585,072-285-0822,34.54484709,135.515406,http://www.sakai.ed.jp/shirasagi-e/,南海高野線　白鷺駅,,,
日置荘西小学校,599-8114,大阪府,堺市,東区,大阪府堺市東区日置荘西町6丁9-1,072-285-5238,072-285-5239,34.53839427,135.5251286,http://www.sakai.ed.jp/hikishonishi-e/,南海高野線　初芝駅,,,
日置荘小学校,599-8114,大阪府,堺市,東区,大阪府堺市東区日置荘西町2丁46-1,072-285-0260,072-285-8002,34.54133192,135.5341437,http://www.sakai.ed.jp/hikisho-e/,南海高野線　萩原天神駅,,南海バス　日置荘小学校前,
南八下小学校,599-8103,大阪府,堺市,東区,大阪府堺市東区菩提町5丁228,072-285-0614,072-285-0509,34.54701745,135.5380671,http://www.sakai.ed.jp/minamiyashimo-e/,南海高野線　初芝駅,,,
登美丘西小学校,599-8126,大阪府,堺市,東区,大阪府堺市東区大美野135,072-236-0031,072-236-0051,34.52680573,135.528789,http://www.sakai.ed.jp/tomiokanishi-e/,南海高野線　北野田駅,,南海バス　西小学校前,
登美丘東小学校,599-8122,大阪府,堺市,東区,大阪府堺市東区丈六224,072-236-2130,072-236-2131,34.52681243,135.5400087,http://www.sakai.ed.jp/tomiokahigashi-e/,南海高野線　北野田駅,,,
登美丘南小学校,599-8127,大阪府,堺市,東区,大阪府堺市東区草尾596,072-236-6051,072-236-6052,34.51785578,135.5364528,http://www.sakai.ed.jp/tomiokaminami-e/,南海高野線　北野田駅,,,
野田小学校,599-8123,大阪府,堺市,東区,大阪府堺市東区北野田897-2,072-236-0065,072-236-6250,34.52376154,135.551125,http://www.sakai.ed.jp/noda-e/,南海高野線　北野田駅,,,
浜寺石津小学校,592-8334,大阪府,堺市,西区,大阪府堺市西区浜寺石津町中2丁3-28,072-241-6505,072-241-6504,34.55947643,135.4553937,http://www.sakai.ed.jp/hamaderaishiz-e/,南海線　石津川駅,,,
浜寺東小学校,592-8341,大阪府,堺市,西区,大阪府堺市西区浜寺船尾町東1丁101,072-265-1141,072-265-1142,34.55100406,135.4579886,http://www.sakai.ed.jp/hamaderahigashi-e/,阪堺線　石津　船尾,南海本線　諏訪ノ森駅,,
浜寺小学校,592-8349,大阪府,堺市,西区,大阪府堺市西区浜寺諏訪森町東2丁163,072-261-9407,072-261-9408,34.5492844,135.4515117,http://www.sakai.ed.jp/hamadera-e/,阪堺線　船尾,南海本線　諏訪ノ森,,
浜寺昭和小学校,592-8345,大阪府,堺市,西区,大阪府堺市西区浜寺昭和町2丁282,072-261-0677,072-261-9227,34.54190393,135.4495454,http://www.sakai.ed.jp/hamaderashowa-e/,南海線　浜寺公園駅,阪堺線　浜寺駅前,,
鳳小学校,593-8327,大阪府,堺市,西区,大阪府堺市西区鳳中町2丁22,072-262-0124,072-262-8132,34.53405321,135.4589729,http://www.sakai.ed.jp/otori-e/,JR阪和線　鳳駅,,,
鳳南小学校,593-8325,大阪府,堺市,西区,大阪府堺市西区鳳南町1丁7,072-272-1200,072-272-3500,34.52879136,135.4576344,http://www.sakai.ed.jp/otoriminami-e/,JR阪和線　鳳駅,,,
福泉上小学校,593-8311,大阪府,堺市,西区,大阪府堺市西区上127-1,072-274-4611,072-274-4612,34.52579135,135.4683615,http://www.sakai.ed.jp/fukuizumikami-e/,JR阪和線　鳳駅,,南海バス　毛穴南,
福泉東小学校,593-8312,大阪府,堺市,西区,大阪府堺市西区草部946-1,072-274-9311,072-274-9312,34.51880575,135.4735138,http://www.sakai.ed.jp/fukuizumihigashi-e/,,,南海バス　万崎,南海バス　八田西町団地
福泉小学校,593-8315,大阪府,堺市,西区,大阪府堺市西区菱木2丁2186-1,072-273-1861,072-273-1862,34.51444457,135.4712435,http://www.sakai.ed.jp/fukuizumi-e/,,,南海バス　福泉小学校前,
平岡小学校,593-8305,大阪府,堺市,西区,大阪府堺市西区堀上緑町1丁6-1,072-271-5044,072-271-5047,34.53460183,135.4773039,http://www.sakai.ed.jp/hiraoka-e/,JR阪和線　津久野駅,,南海バス　平岡町,
家原寺小学校,593-8304,大阪府,堺市,西区,大阪府堺市西区家原寺町1丁7-1,072-274-3401,072-274-3402,34.53658944,135.4761912,http://www.sakai.ed.jp/ebaraji-e/,JR阪和線　津久野駅,,南海バス　家原寺町,
向丘小学校,593-8303,大阪府,堺市,西区,大阪府堺市西区上野芝向ヶ丘町6丁7-1,072-278-0340,072-278-0376,34.53949451,135.4787986,http://www.sakai.ed.jp/mukogaoka-e/,JR阪和線　津久野駅,,南海バス　家原寺町,
上野芝小学校,593-8308,大阪府,堺市,西区,大阪府堺市西区神野町2丁25-1,072-271-4123,072-271-4124,34.54425147,135.4759689,http://www.sakai.ed.jp/uenoshiba-e/,JR阪和線　上野芝駅,,,
津久野小学校,593-8322,大阪府,堺市,西区,大阪府堺市西区津久野町3丁14-11,072-262-0303,072-262-0385,34.54526692,135.4710269,http://www.sakai.ed.jp/tsukuno-e/,JR阪和線　津久野駅,,,
福泉中央小学校,590-0141,大阪府,堺市,南区,大阪府堺市南区桃山台4丁17-1,072-298-3045,072-298-3102,34.49649512,135.4839119,http://www.sakai.ed.jp/fukuizumichuo-e/,,,南海バス　福泉中央小学校前,
赤坂台小学校,590-0144,大阪府,堺市,南区,大阪府堺市南区赤坂台2丁2-1,072-298-3030,072-298-7707,34.48672571,135.4761982,http://www.sakai.ed.jp/akasakadai-e/,泉北高速鉄道　光明池駅,,南海バス　赤坂台小学校前,
新檜尾台小学校,590-0143,大阪府,堺市,南区,大阪府堺市南区新檜尾台3丁7-1,072-298-7300,072-298-7317,34.48020142,135.4768595,http://www.sakai.ed.jp/shinhinoodai-e/,泉北高速鉄道　光明池駅,,,
桃山台小学校,590-0141,大阪府,堺市,南区,大阪府堺市南区桃山台2丁6-1,072-299-0038,072-299-0371,34.48901258,135.4882479,http://www.sakai.ed.jp/momoyamadai-e/,泉北高速鉄道　栂・美木多駅,,,
美木多小学校,590-0138,大阪府,堺市,南区,大阪府堺市南区鴨谷台1丁48-1,072-297-0821,072-297-0841,34.47448146,135.4843523,http://www.sakai.ed.jp/mikita-e/,泉北高速鉄道　光明池駅,,南海バス　美木多中学校前,
城山台小学校,590-0137,大阪府,堺市,南区,大阪府堺市南区城山台1丁20-1,072-299-6571,072-299-7879,34.46866325,135.4878604,http://www.sakai.ed.jp/shiroyamadai-e/,泉北高速鉄道　光明池駅,,南海バス　城山台センター,
御池台小学校,590-0134,大阪府,堺市,南区,大阪府堺市南区御池台2丁3-1,072-298-7500,072-298-7502,34.46543746,135.5035762,http://www.sakai.ed.jp/miikedai-e/,,,南海バス　御池台2丁,南海バス　御池台センター前
庭代台小学校,590-0133,大阪府,堺市,南区,大阪府堺市南区庭代台3丁12-1,072-298-3033,072-298-7706,34.47396979,135.5000749,http://www.sakai.ed.jp/niwashirodai-e/,,,南海バス　庭代台小学校前,
原山ひかり小学校,590-0132,大阪府,堺市,南区,大阪府堺市南区原山台4丁3-1,072-293-5028,072-293-5029,34.48379417,135.4972944,http://www.sakai.ed.jp/harayamahikari-e/,泉北高速鉄道　栂・美木多駅,,,
上神谷小学校,590-0121,大阪府,堺市,南区,大阪府堺市南区片蔵1425,072-297-0028,072-297-2002,34.48006784,135.5121338,http://www.sakai.ed.jp/niwadani-e/,,,南海バス　釜室,南海バス　泉田中
若松台小学校,590-0116,大阪府,堺市,南区,大阪府堺市南区若松台1丁3-1,072-292-0001,072-292-0002,34.49150454,135.5066883,http://www.sakai.ed.jp/wakamatsudai-e/,泉北高速鉄道　泉ケ丘駅,,南海バス　若松台センター,
茶山台小学校,590-0115,大阪府,堺市,南区,大阪府堺市南区茶山台2丁5-1,072-291-1104,072-291-1171,34.49089727,135.5171664,http://www.sakai.ed.jp/chayamadai-e/,泉北高速鉄道　泉ケ丘駅,,,
槇塚台小学校,590-0114,大阪府,堺市,南区,大阪府堺市南区槇塚台3丁39-1,072-291-6000,072-291-6031,34.48268881,135.5275566,http://www.sakai.ed.jp/makitsukadai-e/,,,南海バス　槇塚台センター,
はるみ小学校,590-0113,大阪府,堺市,南区,大阪府堺市南区晴美台3丁3-1,072-290-1112,072-291-3131,34.49612665,135.535898,http://www.sakai.ed.jp/harumi-e/,,,南海バス　晴美台センター,南海バス　はるみ小学校前
泉北高倉小学校,590-0117,大阪府,堺市,南区,大阪府堺市南区高倉台3丁5-1,072-293-3800,072-293-3810,34.49574181,135.5192426,http://www.sakai.ed.jp/sembokutakakura-e/,泉北高速鉄道　泉ケ丘駅,,,
三原台小学校,590-0111,大阪府,堺市,南区,大阪府堺市南区三原台3丁2-1,072-291-0394,072-291-0303,34.50152198,135.5206226,http://www.sakai.ed.jp/miharadai-e/,泉北高速鉄道　泉ケ丘駅,,南海バス　三原台小学校前,
竹城台東小学校,590-0105,大阪府,堺市,南区,大阪府堺市南区竹城台1丁10-1,072-235-0070,072-235-9912,34.50318682,135.5107685,http://www.sakai.ed.jp/takeshirodaihigashi-e/,泉北高速鉄道　泉ケ丘駅,,,
竹城台小学校,590-0105,大阪府,堺市,南区,大阪府堺市南区竹城台3丁2-1,072-297-0777,072-293-9250,34.49630636,135.5036329,http://www.sakai.ed.jp/takeshirodai-e/,泉北高速鉄道　泉ケ丘駅,,,
宮山台小学校,590-0101,大阪府,堺市,南区,大阪府堺市南区宮山台2丁2-1,072-297-0515,072-297-0594,34.50419469,135.4991866,http://www.sakai.ed.jp/miyayamadai-e/,泉北高速鉄道　泉ケ丘駅,,南海バス　宮山台2丁,
西百舌鳥小学校,591-8033,大阪府,堺市,北区,大阪府堺市北区百舌鳥西之町1丁82,072-258-0231,072-258-0232,34.55037228,135.4900222,http://www.sakai.ed.jp/nishimozu-e/,JR阪和線　百舌鳥駅,,南海バス　百舌鳥西之町,
百舌鳥小学校,591-8032,大阪府,堺市,北区,大阪府堺市北区百舌鳥梅町2丁498,072-252-0477,072-252-4636,34.55084447,135.4959109,http://www.sakai.ed.jp/mozu-e/,南海高野線　中百舌鳥駅,地下鉄御堂筋線　なかもず駅,,南海バス　もず八幡前
中百舌鳥小学校,591-8023,大阪府,堺市,北区,大阪府堺市北区中百舌鳥町6丁1033-2,072-258-2650,072-258-2680,34.55020558,135.5072466,http://www.sakai.ed.jp/nakamozu-e/,南海高野線　中百舌鳥駅,地下鉄御堂筋線　なかもず駅,,
金岡南小学校,591-8022,大阪府,堺市,北区,大阪府堺市北区金岡町1182-1,072-258-3104,072-258-3105,34.55555235,135.5119115,http://www.sakai.ed.jp/kanaokaminami-e/,南海高野線　中百舌鳥駅,地下鉄御堂筋線　なかもず駅,,
金岡小学校,591-8022,大阪府,堺市,北区,大阪府堺市北区金岡町1254,072-252-0028,072-252-0843,34.55869368,135.515184,http://www.sakai.ed.jp/kanaoka-e/,南海高野線　中百舌鳥駅,地下鉄御堂筋線　なかもず駅,,
北八下小学校,591-8012,大阪府,堺市,北区,大阪府堺市北区中村町250,072-252-0212,072-252-2111,34.56515116,135.5367354,http://www.sakai.ed.jp/kitayashimo-e/,,,南海バス　八下中学校前,南海バス　中村町
大泉小学校,591-8021,大阪府,堺市,北区,大阪府堺市北区新金岡町4丁9-1,072-251-2816,072-251-2880,34.56810898,135.5228999,http://www.sakai.ed.jp/oizumi/,地下鉄御堂筋線　新金岡駅,,,
新金岡東小学校,591-8021,大阪府,堺市,北区,大阪府堺市北区新金岡町4丁1-9,072-255-8414,072-255-8415,34.5681785,135.5158543,http://www.sakai.ed.jp/shinkanaokahigashi-e/,地下鉄御堂筋線　新金岡駅,,,
新金岡小学校,591-8021,大阪府,堺市,北区,大阪府堺市北区新金岡町1丁4-1,072-252-1723,072-253-2331,34.56963085,135.5110772,http://www.sakai.ed.jp/shinkanaoka-e/,地下鉄御堂筋線　新金岡駅,,,
光竜寺小学校,591-8021,大阪府,堺市,北区,大阪府堺市北区新金岡町3丁7-1,072-251-2032,072-251-2617,34.57235017,135.5216223,http://www.sakai.ed.jp/koryuji-e/,地下鉄御堂筋線　新金岡駅,,南海バス　蔵前町,
東三国丘小学校,591-8046,大阪府,堺市,北区,大阪府堺市北区東三国ヶ丘町2丁2-1,072-252-0263,072-252-0264,34.57064096,135.4978513,http://www.sakai.ed.jp/higashimikunigaoka-e/,JR阪和線　堺市駅,南海高野線　三国ケ丘駅,,
五箇荘小学校,591-8005,大阪府,堺市,北区,大阪府堺市北区新堀町2丁58,072-252-1418,072-252-5210,34.57724267,135.5140737,http://www.sakai.ed.jp/gokasho-e/,地下鉄御堂筋線　北花田駅,,南海バス　蔵前西,
五箇荘東小学校,591-8002,大阪府,堺市,北区,大阪府堺市北区北花田町2丁203,072-255-7911,072-255-7912,34.58093389,135.519633,http://www.sakai.ed.jp/gokashohigashi-e/,地下鉄御堂筋線　北花田駅,,,
東浅香山小学校,591-8042,大阪府,堺市,北区,大阪府堺市北区大豆塚町1丁60,072-252-1081,072-253-2334,34.58015247,135.5045738,http://www.sakai.ed.jp/higashiasakayama-e/,JR阪和線　浅香駅,JR阪和線　堺市駅,,南海バス　浅香
新浅香山小学校,591-8008,大阪府,堺市,北区,大阪府堺市北区東浅香山町3丁31-4,072-254-5081,072-254-5082,34.58571328,135.5086262,http://www.sakai.ed.jp/shinasakayama-e/,地下鉄御堂筋線　北花田駅,地下鉄御堂筋線　北花田,,南海バス　浅香山住宅前
黒山小学校,587-0003,大阪府,堺市,美原区,大阪府堺市美原区阿弥93,072-361-0602,072-361-9126,34.53492145,135.5566316,http://www.sakai.ed.jp/kuroyama-e/,,,南海バス　黒山,近鉄バス　上黒山
平尾小学校,587-0022,大阪府,堺市,美原区,大阪府堺市美原区平尾360,072-361-0029,072-361-6712,34.5328056,135.5665674,http://www.sakai.ed.jp/hirao-e/,,,南海バス　平尾,
美原北小学校,587-0001,大阪府,堺市,美原区,大阪府堺市美原区大保19,072-361-0002,072-361-6701,34.54942108,135.5608296,http://www.sakai.ed.jp/miharakita-e/,,,近鉄バス　大保,
八上小学校,587-0063,大阪府,堺市,美原区,大阪府堺市美原区大饗117-1,072-361-0810,072-361-6711,34.54363424,135.5452874,http://www.sakai.ed.jp/yakami-e/,,,南海バス　大饗,
美原西小学校,587-0062,大阪府,堺市,美原区,大阪府堺市美原区太井548,072-362-4891,072-362-4890,34.53825347,135.5531802,http://www.sakai.ed.jp/miharanishi-e/,南海高野線　初芝駅,,南海バス　黒山,
さつき野小学校,587-0032,大阪府,堺市,美原区,大阪府堺市美原区さつき野東1丁目6-1,072-362-4689,072-362-4699,34.53165097,135.5818898,http://www.sakai.ed.jp/satsukino-e/,,,近鉄バス　さつき野センター前,
